config,window_size,max_disparity,aggregate_window,images,avg_mae,avg_rmse,avg_p50_abs_diff,avg_p90_abs_diff,avg_corr,avg_time_midas_s,avg_time_stereo_s,avg_time_compare_s,avg_time_total_s
w5_d48_a7,5,48,7,4,0.28859109431505203,0.36912498623132706,0.23127557337284088,0.6416782140731812,0.20036885133153176,0.35859789999994973,1.1071237999994992,0.03578757499963103,1.50150927499908
w7_d64_a9,7,64,9,4,0.26850856840610504,0.3505319058895111,0.20399609953165054,0.615715280175209,0.262087849183802,0.2864879500002644,1.437882449999961,0.04190707499947166,1.766277474999697
w7_d96_a9,7,96,9,4,0.26036524400115013,0.34396403282880783,0.19425741583108902,0.6107083708047867,0.2884586769056952,0.43827020000026096,2.164599325000381,0.03571330000067974,2.638582825001322
w7_d64_a11,7,64,11,4,0.2648809552192688,0.3465188592672348,0.20082936063408852,0.6088305860757828,0.2764455707787549,0.3310723250006049,1.3337758249990657,0.02908562499942491,1.6939337749990955
w5_d64_a9,5,64,9,4,0.27179786190390587,0.35381875187158585,0.2075599618256092,0.6193952560424805,0.2473082373036213,0.28438632500001404,1.0570954500008156,0.03542525000102614,1.3769070250018558
