key,left_image,right_image,config,window_size,max_disparity,aggregate_window,time_midas_s,time_stereo_s,time_compare_s,time_total_s,is_warmup,mae,rmse,p50_abs_diff,p90_abs_diff,corr,disp_min,disp_max,midas_min,midas_max
000000,000000_11.png,000000_10.png,w5_d48_a7,5,48,7,0.5768189999980677,1.5181331999992835,0.029728800000157207,2.1246809999975085,0,0.3262726664543152,0.41648438572883606,0.26946157217025757,0.7327726483345032,0.14313591735874115,0.0,47.0,-49.19353485107422,3567.53076171875
000001,000001_11.png,000001_10.png,w5_d48_a7,5,48,7,0.28250409999964177,0.85598519999985,0.030358599997271085,1.1688478999967629,0,0.2966649532318115,0.3738584518432617,0.2525290250778198,0.630774199962616,0.18458796462043606,0.0,47.0,-92.45459747314453,3542.445068359375
000002,000002_11.png,000002_10.png,w5_d48_a7,5,48,7,0.2897272000009252,0.8801315999990038,0.036921999999322,1.206780799999251,0,0.27942249178886414,0.35608869791030884,0.21856987476348877,0.6207613348960876,0.15207700804187457,0.0,47.0,-17.744457244873047,3306.87109375
000003,000003_11.png,000003_10.png,w5_d48_a7,5,48,7,0.2853413000011642,1.1742451999998593,0.046140900001773844,1.5057274000027974,0,0.2520042657852173,0.3300684094429016,0.18454182147979736,0.5824046730995178,0.3216745153050753,0.0,47.0,47.66133117675781,3379.587646484375
000000,000000_11.png,000000_10.png,w7_d64_a9,7,64,9,0.29616510000050766,1.5045976999972481,0.029670500000065658,1.8304332999978215,0,0.31039050221443176,0.39886119961738586,0.24741311371326447,0.6972736120223999,0.18964425629113305,0.0,63.0,-49.19353485107422,3567.53076171875
000001,000001_11.png,000001_10.png,w7_d64_a9,7,64,9,0.2823484999971697,1.3561369000017294,0.03447049999886076,1.6729558999977598,0,0.2899554669857025,0.36618366837501526,0.24074888229370117,0.6235986351966858,0.21009993183000988,0.0,63.0,-92.45459747314453,3542.445068359375
000002,000002_11.png,000002_10.png,w7_d64_a9,7,64,9,0.28001380000205245,1.5341106000014406,0.054497299999638926,1.868621700003132,0,0.24869732558727264,0.33404162526130676,0.1762707680463791,0.6010736227035522,0.2455613369281456,0.0,63.0,-17.744457244873047,3306.87109375
000003,000003_11.png,000003_10.png,w7_d64_a9,7,64,9,0.28742440000132774,1.3566845999994257,0.0489899999993213,1.6930990000000747,0,0.22499097883701324,0.30304113030433655,0.15155163407325745,0.5409152507781982,0.40304587168591943,0.0,63.0,47.66133117675781,3379.587646484375
000000,000000_11.png,000000_10.png,w7_d96_a9,7,96,9,0.2875954000010097,2.282203100003244,0.029237999999168096,2.5990365000034217,0,0.29348886013031006,0.3830208480358124,0.22631317377090454,0.6867952346801758,0.23003452589229703,0.0,95.0,-49.19353485107422,3567.53076171875
000001,000001_11.png,000001_10.png,w7_d96_a9,7,96,9,0.49798179999925196,2.096159400000033,0.03869260000283248,2.6328338000021176,0,0.28104013204574585,0.35750699043273926,0.22969165444374084,0.6127954721450806,0.23415958391592334,0.0,95.0,-92.45459747314453,3542.445068359375
