config,score_thresh,near_m,far_m,min_valid,max_valid,min_pixels,images,avg_detections,avg_valid,avg_frac_valid,avg_mean_distance_m,avg_median_distance_m,avg_time_total_s,avg_time_yolo_s,avg_time_midas_s,avg_time_post_s
base,0.7,1.0,50.0,0.1,200.0,25,4,5.75,5.75,1.0,32.91178035736084,35.589229583740234,3.5266624537489406,0.1546582414994191,3.3688761162493392,0.0031280960001822677
low_thresh,0.5,1.0,50.0,0.1,200.0,25,4,8.0,8.0,1.0,33.633288860321045,36.123610973358154,3.5098642735001704,0.13824645375098044,3.3688761162493392,0.0027417034998507006
high_thresh,0.85,1.0,50.0,0.1,200.0,25,4,2.5,2.5,1.0,27.84205198287964,28.553597927093506,3.504842946498684,0.13345616724927822,3.3688761162493392,0.0025106630000664154
tight_range,0.7,0.5,30.0,0.1,120.0,25,4,5.75,5.75,1.0,19.712193965911865,21.32412815093994,3.5030548454988093,0.13263246474980406,3.3688761162493392,0.0015462644996659947
