image,config,score_thresh,near_m,far_m,min_valid,max_valid,min_pixels,num_detections,num_valid,frac_valid,mean_distance_m,median_distance_m,std_distance_m,min_distance_m,max_distance_m,time_midas_s,time_yolo_s,time_post_s,time_total_s,depth_cached
000000_11.png,base,0.7,1.0,50.0,0.1,200.0,25,6,6,1.0,33.264381408691406,42.796287536621094,15.999605178833008,9.588939666748047,47.660545349121094,0.5698717999985092,0.4074620999999752,0.017331800001556985,0.9946657000000414,1
000000_11.png,low_thresh,0.5,1.0,50.0,0.1,200.0,25,9,9,1.0,35.49132537841797,44.17386245727539,14.610495567321777,9.588939666748047,49.16349792480469,0.5698717999985092,0.02963150000141468,0.005352800002583535,0.6048561000025074,1
000000_11.png,high_thresh,0.85,1.0,50.0,0.1,200.0,25,2,2,1.0,25.503826141357422,25.503826141357422,15.914886474609375,9.588939666748047,41.4187126159668,0.5698717999985092,0.030806300001131603,0.09018060000016703,0.6908586999998079,1
000000_11.png,tight_range,0.7,0.5,30.0,0.1,120.0,25,6,6,1.0,19.924476623535156,25.663070678710938,9.632416725158691,5.670891761779785,28.591552734375,0.5698717999985092,0.029410300001472933,0.004138000000239117,0.6034201000002213,1
000001_11.png,base,0.7,1.0,50.0,0.1,200.0,25,4,4,1.0,38.138877868652344,40.22825622558594,6.579222202301025,27.55413055419922,44.54487609863281,0.288992199999484,0.018221500002255198,0.0025170000008074567,0.30973070000254666,1
000001_11.png,low_thresh,0.5,1.0,50.0,0.1,200.0,25,8,8,1.0,40.10327911376953,42.20379638671875,5.825969219207764,27.55413055419922,46.44102096557617,0.288992199999484,0.019112899997708155,0.0025234999993699603,0.3106285999965621,1
000001_11.png,high_thresh,0.85,1.0,50.0,0.1,200.0,25,2,2,1.0,36.049503326416016,36.049503326416016,8.495372772216797,27.55413055419922,44.54487609863281,0.288992199999484,0.020088199999008793,0.001948200002516387,0.3110286000010092,1
000001_11.png,tight_range,0.7,0.5,30.0,0.1,120.0,25,4,4,1.0,22.859121322631836,24.11701011657715,3.9609599113464355,16.486671447753906,26.71579360961914,0.288992199999484,0.017955499999516178,0.002021600001171464,0.30896930000017164,1
000002_11.png,base,0.7,1.0,50.0,0.1,200.0,25,6,6,1.0,34.468685150146484,36.04895782470703,9.004842758178711,18.18624496459961,45.90315628051758,0.2816299000005529,0.020986999999877298,0.002682899998035282,0.30529979999846546,1
000002_11.png,low_thresh,0.5,1.0,50.0,0.1,200.0,25,9,9,1.0,33.222511291503906,34.18922424316406,9.392431259155273,18.18624496459961,45.90315628051758,0.2816299000005529,0.018041100000118604,0.002991200002725236,0.3026622000033967,1
000002_11.png,high_thresh,0.85,1.0,50.0,0.1,200.0,25,4,4,1.0,29.844684600830078,31.641897201538086,7.422685623168945,18.18624496459961,37.908687591552734,0.2816299000005529,0.02068149999831803,0.0022845999992568977,0.3045959999981278,1
000002_11.png,tight_range,0.7,0.5,30.0,0.1,120.0,25,6,6,1.0,20.64951515197754,21.600902557373047,5.42128324508667,10.846820831298828,27.533533096313477,0.2816299000005529,0.018217799999547424,0.002842199999577133,0.30268989999967744,1
000003_11.png,base,0.7,1.0,50.0,0.1,200.0,25,1,1,1.0,35.80815887451172,35.80815887451172,0.0,35.80815887451172,35.80815887451172,0.28228849999868544,0.028112600000895327,0.0028655999994953163,0.3132666999990761,1
000003_11.png,low_thresh,0.5,1.0,50.0,0.1,200.0,25,2,2,1.0,36.38497543334961,36.38497543334961,0.5768165588378906,35.80815887451172,36.9617919921875,0.28228849999868544,0.028950199997780146,0.0024956999986898154,0.3137343999951554,1
000003_11.png,high_thresh,0.85,1.0,50.0,0.1,200.0,25,1,1,1.0,35.80815887451172,35.80815887451172,0.0,35.80815887451172,35.80815887451172,0.28228849999868544,0.02775130000009085,0.0034181000009994023,0.3134578999997757,1
000003_11.png,tight_range,0.7,0.5,30.0,0.1,120.0,25,1,1,1.0,21.4559326171875,21.4559326171875,0.0,21.4559326171875,21.4559326171875,0.28228849999868544,0.028713100000459235,0.002548100001149578,0.31354970000029425,1
